id,titulo,conteudo,link
1426,Conectar HubSpot e Jira,"Conecte o HubSpot e o Jira para criar e atualizar problemas do Jira no HubSpot a partir do registro do ticket. Você também pode usar a ferramenta de fluxos de trabalho para enviar notificações à sua equipe e analisar seus problemas do Jira usando as novas propriedades do Jira. Antes de começar Você deve ser um superadministrador ou ter Permissões do App Marketplace na sua conta HubSpot. Você deve ter uma conta do Jira Cloud. A integração não será sincronizada com as instâncias do Jira em servidores de propriedade do cliente. Conectar o aplicativo Na sua conta HubSpot, clique no ícone do Marketplace marketplace na barra de navegação superior e selecione App Marketplace . Use a barra de pesquisa para localizar a integração do Jira. Clique em Instalar aplicativo no canto superior direito. Analise as permissões necessárias e clique em Aceitar . Observe: desinstalando o aplicativo Jira excluirá todas as associações de tickets e problemas em sua conta. Alternar o usuário de integração não excluirá todas as associações, desde que o novo usuário tenha a capacidade de se conectar ao aplicativo e permissões semelhantes ou maiores do que o usuário original. Usar o aplicativo Jira Assim que a integração estiver conectada, você pode criar um novo problema do Jira com base em um registro de ticket, anexar um problema do Jira existente a um ticket e automatizar e gerar relatórios de tickets usando a ferramenta de fluxos de trabalho. Criar e gerenciar problemas do Jira Na sua conta HubSpot, acesse CRM > Tickets . Clique no nome de um ticket. No painel direito, na seção Jira , clique em Associar problema do Jira . Na caixa de diálogo, clique no menu suspenso e procure por um problema do Jira existente ou clique em Criar novo problema do Jira para criar um novo problema do Jira. Se estiver criando um novo problema do Jira, insira os detalhes do Jira. Clique em Anexar problema do Jira se tiver selecionado um problema do Jira existente ou em Criar problema do Jira se tiver criado um novo problema do Jira. O problema do Jira será exibido na seção Jira dos registros de ticket, contato e empresa associados. Para visualizar comentários do problema associado do Jira na linha do tempo do ticket, no painel central, na seção Atividade guia, clique no Filtrar atividade menu suspenso. Na seção Integrações , marque a caixa de seleção Jira . Os comentários do Jira serão sincronizados e exibidos na linha do tempo do ticket. Observação: Para modificar o repórter de um problema de Jira, o usuário de integrações deve ter o acesso Modificar Repórter no Jira. Não é possível definir o valor das propriedades Designado do problema do Jira , Prioridade do problema do Jira e Status do problema do Jira na seção Jira em um registro de ticket. Pode haver um atraso na sincronização entre um ticket do HubSpot e um problema do Jira, de uma hora a vinte e quatro horas. Remover um Jira de um registro Você pode remover um problema do Jira do registro associado. Quando um problema do Jira é criado ou associado a um registro de contato ou empresa, um ticket associado será criado automaticamente no HubSpot. O Jira é então associado ao novo ticket e também ao registro do Contato e/ou Empresa. Observação: a ação de remover um problema do Jira pode ser concluída apenas a partir Ticket associado. Quando o problema do Jira é removido do Ticket , ele também será removido do registro de Contato ou Empresa associado. Na sua conta HubSpot, acesse CRM > Tickets . Clique no nome do ticket com um problema associado do Jira. No painel direito, acesse a seção Jira . Para remover um único Jira, clique em Ações > Remover problema do Jira . Para remover todos os Jiras associados do Ticket , clique em Ações > Remover todos os problemas do Jira . Automatizar e gerar relatórios sobre tickets e problemas do Jira Com a integração do Jira, você pode criar fluxos de trabalho para enviar notificações à sua equipe ou ao cliente à medida que os problemas do Jira são atualizados e resolvidos. Você também pode criar relatórios personalizados para analisar seus tickets para visualizar quais problemas do Jira têm o número mais alto de tickets da HubSpot anexados. Após conectar o aplicativo Jira, as propriedades abaixo serão adicionadas à sua conta e estarão disponíveis para uso em fluxos de trabalho e relatórios: Status do problema do Jira Resumo do problema do Jira ID do problema do Jira Prioridade do problema do Jira Designado do problema do Jira Identificador do problema do Jira Link do problema do Jira Relator do problema do Jira Observação : não é possível editar os valores de propriedades relacionadas ao Jira no HubSpot. Sincronizar as observações e os comentários do ticket com um problema do Jira Você pode sincronizar automaticamente as observações e os comentários dos registros de ticket do HubSpot com os problemas associados do Jira. Os comentários são sincronizados bidireccionalmente entre o HubSpot e o Jira. Na sua conta HubSpot, acesse CRM > Tickets . Clique no nome do bilhete . No painel direito, acesse a seção Jira . Clique em Associar problema do Jira . Na caixa de diálogo, clique no menu suspenso para selecionar seu problema do Jira. Marque a caixa de seleção Sincronizar as observações e os comentários do ticket com este problema do Jira . Em seguida, clique em Anexar problema do Jira . Para problemas existentes do Jira que estão anexados a tickets, clique em Ações > Começar a sincronizar observações com o Jira . Observação: Notas e comentários sincronizados com o Jira serão criados pelo usuário de integração, independentemente de quem criou a nota no HubSpot. Os comentários que existiam antes do problema do Jira ser associado a um ticket do HubSpot não serão sincronizados retroativamente. Os anexos nas notas não serão sincronizados com a Jira. Crie tickets do Jira usando fluxos de trabalho ( Profissional e Empreendimento apenas) Em fluxos de trabalho baseados em tickets, você pode adicionar uma ação Criar problema do Jira para automaticamente criar problemas do Jira a partir do HubSpot. Usando essa ação, você pode definir o projeto, tipo, resumo e descrição do problema. Para adicionar uma ação Criar problema do Jira a um fluxo de trabalho: Na sua conta HubSpot, acesse Automações > Fluxos de trabalho . Clique no nome de um fluxo de trabalho ou crie um novo fluxo de trabalho . No editor de fluxo de trabalho, clique no ícone mais ícone + para adicionar uma ação de fluxo de trabalho. Na barra lateral direita, selecione Criar problema no Jira . Configure os detalhes dos problemas do Jira que você criará. O HubSpot extrairá automaticamente os projetos e tipos disponíveis do Jira. Se houver campos obrigatórios além de resumo ou descrição, você não poderá selecionar o tipo de problema. Você pode inserir tokens de ticket nos campos Resumo e Descrição para extrair os detalhes diretamente dos tickets inscritos. Por exemplo, você pode adicionar o token de Status do ticket para incluir automaticamente no status do ticket da HubSpot na descrição do Jira. Quando terminar de configurar os detalhes do ticket, clique em Salvar . Observe: ÉPICO o tipo de problema não está disponível ao criar um problema por meio de um fluxo de trabalho. No entanto, ÉPICO pode ser usado ao criar um problema do Jira manualmente a partir de um registro de ticket. Saiba mais sobre como criar fluxos de trabalho e configurações de fluxo de trabalho . Integrations",https://knowledge.hubspot.com/pt/integrations/install-and-use-hubspots-integration-with-jira
1427,Customize your email subscription pages,"Users with Website settings permissions can design and customize email subscription pages to offer a way for contacts to manage their subscription preferences, unsubscribe from emails, or confirm a specific subscription. These subscription pages are created as system templates , rather than individual pages. The way they render depends upon the recipient's email preferences. Please note: subscription preferences pages are customized for each email address. Consequently, you cannot generate a generic subscription preferences link. Contacts can access their personal subscription preferences page by clicking a link in the footer of a marketing email . Subscription page domain Subscription preferences pages are hosted on your primary marketing email domain, except in the following situations: If there's no primary marketing email domain connected, but you've connected a secondary marketing email domain, subscription preference pages will be hosted on the secondary domain instead. If no marketing email domains are connected, preference pages will remain hosted on a HubSpot email domain (e.g., hs-sites.com). Edit subscription page templates To edit your subscription page templates: In your HubSpot account, click the settings settings icon in the top navigation bar. In the left sidebar menu, navigate to Marketing > Email . Click the Subscriptions tab. For each subscription page, click the dropdown menu and select a template . To edit a subscription page template in the design manager, click Actions > Edit . In the design manager, edit your template: If you're using a default template, click Clone template in the banner. In the dialog box, enter a name for your new template, then click Clone template . If you're using a coded template, you'll need to edit the email_subscriptions HubL token. Learn more about the available parameters in the HubSpot CMS Docs . You can add modules to your subscription preferences page to allow contacts to request that their personal data be emailed to them or deleted. This function is required under certain data privacy laws. Learn more in our developer docs . In the upper right, click Publish changes . The template will now be available to select from the dropdown menu in your email settings. If you want to preview how your subscription page will appear, return to the Subscriptions tab and click Actions > Preview under the associated page. Please note: if you notice that null is being added to the URL of any of your subscription pages after you've published them, try removing any third-party JavaScript files or libraries that you've added to your site. Types of email subscription pages Your email subscription pages allow your contacts to update their subscription preferences. You can also customize a backup unsubscribe page for unrecognized visitors along with a confirmation page that will be shown once someone unsubscribes. Users in a Marketing Hub Professional or Enterprise account can customize the URL of these subscription pages by connecting a domain for the Email content type . Subscription preferences page: this page features a name and description of each subscription type defined in your email settings. This page is displayed after a user clicks the Manage preferences link from an email they received. Only the subscription types that a user is currently subscribed to will appear as checked when they visit the subscription preferences page. Users can choose which type of email communications they want to receive from your organization or unsubscribe from all communications on this page. After clicking the Update email preferences button to save their changes, any subscription types left unchecked will be marked as unsubscribed for that contact. Subscription update confirmation page: this page confirms that HubSpot has received a request to update communication preferences for a visitor. This page is displayed after a user saves their preferences on the subscription preference page, or after the user clicks the Unsubscribe from all emails link in an email they received. Unknown contact subscription preferences: this page is loaded for visitors who aren't recognized in your contacts database in HubSpot at the time of their visit. These visitors will be shown an error message when visiting the subscription page. Design Manager Account Management Marketing Email",https://knowledge.hubspot.com/marketing-email/how-do-i-customize-my-email-opt-out-page
1428,Sync Salesforce State and Country picklists with HubSpot State/Region and Country properties,"In Salesforce, you can turn on State and Country picklists . By default, the State/Region and Country contact properties in HubSpot are single-line text field types . If you want to sync Salesforce State and Country picklists with these default properties, conflicts will frequently occur because non-standardized values can be entered in HubSpot, which will not be accepted by Salesforce. To properly sync Salesforce State and Country picklists with HubSpot State/Region and Country contact properties, the HubSpot properties must be edited to have a dropdown select field type, then have their default values converted to pass validation for Salesforce State and Country picklists. In your HubSpot account, click the settings settings icon in the top navigation bar. In the left sidebar menu, navigate to Properties . In the Contact properties tab, click the State/Region or Country property. Click the Field type dropdown menu and select Dropdown select . In the Dropdown options section, click listView Load options... . In the dialog box, click the Load options dropdown menu and search for and select State (United States) or Country , then click Load options . Please note: Salesforce requires that if a record has a state value, a corresponding country must be specified. If a country is not specified, Salesforce will return an error message and the record will not sync between HubSpot and Salesforce. Non-matching state/country values and mismatched state/country pairs will also result in errors and prevent syncing. As such, these steps must be taken for both the State/Region property and the Country property. To change the State/Region or Country property field type to dropdown select, you need to export the data , clear the property for all contacts, change the property to a dropdown field type , clean up incorrectly formatted data, and re-import it. The internal values for locations must match in both HubSpot and Salesforce. If these values are not the same they will not map correctly. In your HubSpot account, click the settings settings icon in the top navigation bar. In the left sidebar menu, navigate to Integrations > Connected Apps . Click Salesforce . Click the Sync Settings tab > HubSpot → Salesforce . In the Matching state and country fields section: Click the Tell us about your Salesforce state and country picklists dropdown menu and one of the following: The picklist is disabled in Salesforce. The picklist is enabled in Salesforce. The picklist is enabled and customized in Salesforce. Click the HubSpot will dropdown menu and select one of the following: Match default Salesforce state/country values when syncing. Sync HubSpot state/country values to Salesforce. Click the Contacts tab. In the Contact Field Mappings section, review the State/Region and Country field mappings. Integrations",https://knowledge.hubspot.com/salesforce/sync-salesforce-state-and-country-picklists-with-hubspot-state-region-and-country-properties
1429,Upload and manage files in the HubSpot mobile app,"Upload files directly to your HubSpot file manager from your mobile device using HubSpot's mobile app. Once uploaded, your images, fonts, audio files, PDFs, and other files will be hosted on HubSpot's content delivery network servers . Please note: Files uploaded to the files tool are hosted on a public CDN file URL by default. HubSpot does not support the management of sensitive information. For more information, please see our Terms of Service . Before you get started Before uploading your files, please note the following: Before uploading a file, review the file tool's supported file types and sizes . By default, files uploaded to the files tool are hosted on a public file URL. If you don't want your files to be visible to search engines, learn how to customize the visibility of your file URL . It is not possible to track views from the files tool. When a visitor accesses a file, whether as a download or a URL, it will not count toward any page view metrics. Upload files To upload a file: Open the HubSpot app on your device. At the bottom, tap Menu . In the Marketing section, tap Files . In the top right, tap Add . Tap Upload files . At the bottom, select the source for your file: To select a photo from your device's stored photos, tap Choose photo . To select a video from your device's stored photos, tap Choose video . To capture a photo or video directly from your device to the files tool, tap Take photo or video . To select a file from your device, tap Choose file . You can upload the following file types: To cancel a file upload, in the top left, click Cancel . You cannot cancel a completed upload. If you've incorrectly uploaded a file, you can delete the file from the file manager. To upload another file, in the top right, click the + add icon . After the file has been successfully uploaded, it will appear in the Done section. In the top left, click Done to return to the file manager. Manage files To manage your files from the HubSpot mobile app: Open the HubSpot app on your device. At the bottom, tap Menu . In the Marketing section, tap Files . To filter your files, in the top left, tap All file types , then select All file types , Documents , Images , or Videos . To sort your files, in the top left, tap Sorted by , then select Most recent , Name , File size , or File type . To search for a specific file, at the top, enter your search term in the search bar. To review a file's details, tap the verticalMenu more icon next to the file. To preview the file, click Preview . To share the file through other applications on your device such as Slack or Telegram, click Share . To change the file visibility, click Change file visibility . Select Public , Public - no index , or Private . To delete the file, click Move to trash . Learn more about deleting and restoring your deleted files . Create folders You can create folders to organize your files in the app or upload files directly to these folders. To create a folder from the HubSpot mobile app: Open the HubSpot app on your device. At the bottom, tap Menu . In the Marketing section, tap Files . In the top right, tap Add . Tap Create folder . In the dialog box, enter your folder name , then tap Create . To add a file to the folder, tap the folder name , then in the top right, tap Add . Continue uploading your files . By default, when uploading files, the file visibility will be set to Public . This can be later updated directly within the mobile app. After creating your folder and uploading your files, the folder and files will appear in the files tool on both the mobile app and on desktop. Files",https://knowledge.hubspot.com/files/upload-manage-files-in-the-hubspot-mobile-app
1430,Language settings for the SEO tool,"Different parts of the SEO tool are available in various languages: the SEO tool overall, topics and subtopic keywords, topic validation data , and subtopic keyword suggestions. SEO tool overall The overall tool, including areas such as labels, instructions, and help text, is available in all languages the HubSpot software supports : English, Brazilian Portuguese, Spanish, German, French, and Japanese. Topics and subtopic keywords Topics and subtopic keywords are available in any language. If your content is in a language not currently available for HubSpot, you can still use the SEO tool to organize your content and see how it performs by entering in your own topic and subtopic keywords. Topic validation data Search engines return vastly different results based on many factors, including the searcher's locale. Setting the appropriate locale for each topic cluster will ensure an accurate representation of the domain authority and monthly search volume for the set country. You can change the locale for a specific topic by using the Country dropdown menu in the upper-left corner of the topic details page. You can see locations available for monthly search volume and subtopic keyword suggestions from SEMrush databases . Subtopic suggestions Currently, the machine learning models for subtopic keyword suggestions are based in English. Some other subtopic keyword suggestions are provided according to the locales available from SEMrush . SEO",https://knowledge.hubspot.com/content-strategy/language-settings-for-the-seo-tool
1431,Form in the wrong place on external page,"When embedding a HubSpot form on your external page, you may see it appearing in a different location than desired. This may be due to the form being dynamically rendered on the page or an issue with multiple form embed codes being added to the same <div> tag in the page HTML. These issues can be resolved by customizing the form embed code. Learn more about customizing the form embed code in HubSpot's developers documentation . Single form A form may sometimes be dynamically rendered on a page and load in different locations. Sometimes on older browsers, the form may not even display. To ensure the form loads successfully on a specific part of the page, you can add a target attribute to the form embed code to specify the specific container you want the form to render in. For example, you can force the form to render in a container on the page with the CSS class of sidebar . To add a target attribute to the form embed code: In the form embed code, add a comma (,) after the formId . Then, enter a new line and enter target: '[container name]' . Multiple forms When you embed the same HubSpot form multiple times on an external page, the forms may appear side by side or in the wrong location. This happens if the form embed codes are added to the same <div> tag in the page HTML. To ensure the forms load and display correctly, add the formInstanceId attribute and specify a unique value for each form embed code: In the form embed code, add a comma (,) after the formId attribute value, Then, enter a new line and enter formInstanceId : '[number]'. Add and number each form in the order it appears on the page. For example, '1' for the first form, '2' for the second form, and so on. Forms",https://knowledge.hubspot.com/forms/form-in-the-wrong-place-on-external-page
1432,Create smart forms,"Use smart forms to customize the form displayed depending on your website visitor. For example, you can display different forms or form options depending on what country a visitor is from or what lifecycle stage they're at. Learn more about using smart content and smart content rules . You can use the following criteria for your smart rules: Country: display content to your viewer based on their country. The country is determined by the IP address of the visitor. Device type: specify which device this smart content is centered around, such as mobile, tablet, or desktop. HubSpot refers to the user agent of your visitor’s browser to determine their device type. Since this can sometimes be changed on the device, accurate segmentation cannot always be guaranteed. Referral source: show visitors your smart content based on how they found your site. Preferred language: personalize your content based on the language set within the user's web browser. Contact list membership: show contacts in your HubSpot database certain content depending on whether or not they're a member of one of your HubSpot lists . Lifecycle stage: this will look at the lifecycle stage property of a contact in your HubSpot database and display the relevant content based on the value of this field. Create a smart form on your landing page or website page To create a smart form on your landing or website page: Navigate to your content: Website Pages : In your HubSpot account, navigate to Content > Website Pages . Landing Pages : In your HubSpot account, navigate to Content > Landing Pages . Click the name of your page. In the content editor, click the form module . In the left panel, under Smart rules , click +Add . In the right panel, click the Show different content based on dropdown menu and select the criteria you want to base your smart content rules on. In the Rules section, click + Add . Configure your smart rules. To add another smart rule, click + Add . Click Save . To edit the form displayed or form options for each smart rule, click the Editing for dropdown menu and select a smart rule . In the left panel, edit your form options . After editing your smart form, in the upper right, click Publish . Create a smart form in your template In addition to creating a smart form directly on the page, you can also add a smart form to your HubSpot template . To create a smart form in your template: In your HubSpot account, navigate to Content > Design Manager . In your design manager, click the name of the template. Click the form module or add a new form module . In the right panel, click the More dropdown menu and select Make module smart . In the dialog box, select the criteria you want to base your smart content rules on. Click Create . To edit the default form displayed or form options for each smart rule, in the Default content section, click the Editing for dropdown menu and select a smart rule . To add another rule or manage your rules, click Manage . After making your changes, in the upper right, click Publish changes Forms",https://knowledge.hubspot.com/forms/create-smart-forms
1433,Organize conversations into custom views in the inbox,"You can filter conversations into views to help your team prioritize and effectively manage customer communications in the inbox. For example, create a view of all of the conversations associated with high priority tickets so your team knows to focus their efforts on those conversations. Please note: accounts created after April 1st, 2024 cannot create custom views based on ticket properties in the conversations inbox. Create custom views Create custom views to help your team manage customer communications. Please note: You must have Custom views access to create, edit, or delete views. Users in a Professional account can create up to 50 custom views, while users in an Enterprise account can create up to 600 custom views. Learn more about HubSpot's pricing . In your HubSpot account, navigate to CRM > Inbox . In the bottom left, click the Actions dropdown menu, then select Create a view . In the right panel, enter a name for the view in the Name field, then click Next . In the Filter type section, select a filter option . You can filter by the default ticket or conversations properties , as well as custom ticket properties . Please note: you cannot filter by the following properties: Chatflow , Inbox , Source URL , Thread ID , First agent email response date , Source , and Time to first agent reply. Click Next . Search for and select a property you want to filter your conversations by, then select an option to set criteria based on that property. Click Apply filter . To add more filter criteria or refine the existing criteria, click AND or OR . Learn more about using AND or OR logic . Click Done . Depending on your data, it can take a few hours for the view to be added to your inbox. When the new view is successfully created, conversations that meet the criteria will appear in that view. Other team members in the inbox will also be able to access the views. Manage views All of your custom and standard HubSpot views will appear in the sidebar in the inbox. The following views are standard and cannot be removed: Unassigned Assigned to me All open Chat Bots Email Messenger Forms All closed Sent Spam Trash The Unassigned , Assigned to me , All open , and Chat views will always appear. To access the other standard views, click More . Please note: if you send an email to a contact from the inbox, that sent email will not appear in the All open view until the recipient responds to the email. To rearrange the order of the custom views, click and drag the view to a different position. You can also edit an existing custom view's name or filter criteria. To edit an existing view: In the left sidebar in the inbox, hover over the view and click the verticalMenu menu icon , then select Edit view . Make any changes to the view name. To edit the filter criteria, click Edit next to the list of filters. Click Save . To delete a view: In the left sidebar in the inbox, hover over the view and click the verticalMenu menu icon , then select Delete view . In the dialog box, select the I'm sure that I want to delete this view checkbox, then click Delete . Deleting a view does not delete the conversations in the view. Inbox",https://knowledge.hubspot.com/inbox/organize-conversations-into-custom-views-in-the-inbox
1434,Manage upcoming client renewals,"Manage upcoming client renewals, with insight into your clients' upcoming contract changes. In your HubSpot account, navigate to Partner > Dashboard . In the left sidebar menu, click Renewals . Here, you can view information on clients with upcoming renewals: Client: the client's domain. Product renewals: the products the client owns and is about require a renewal decision. Renewal deadline: the last date for altering contract terms. This is 45 days before renewal start date. Current MRR: the current monthly recurring revenue. Renewal MRR: the renewal monthly recurring revenue. Company Owner : the company's owner. Success Owner: the Partner Development Manager in HubSpot. To view more details on the renewal, click the client's name . In the right panel: In the Renewals section, review the renewal date and renewal subscription. In the Client details section, review information about the client. To view the client's HubSpot account, hover over the client and click Actions > Open client portal . Partner Tools",https://knowledge.hubspot.com/partner-tools/manage-upcoming-client-renewals
1435,Adicione um módulo de produto ou carrinho abandonado ao seu e-mail de marketing,"Se você tiver criou uma biblioteca de produtos em sua conta HubSpot, você pode promover seus produtos incorporando-os diretamente em seus e-mails de marketing. Observe: se você instalou HubSpot e Shopify (sincronização de dados) , você deve verificar o novo recurso de módulo de carrinho abandonado que está atualmente em beta. Requisitos Você deve criar uma biblioteca de produtos antes de inserir produtos individuais em seus e-mails. Observe: é altamente recomendável incluir um URL de produto e um URL de imagem para cada produto em sua biblioteca de produtos para garantir que o módulo preencha as informações do produto corretamente ao editar seu e-mail. Somente usuários com Gerenciar biblioteca de produtos permissões na sua conta HubSpot pode criar, editar ou visualizar produtos na biblioteca de produtos. Outros usuários ainda poderão adicionar produtos em e-mails, mas não modificar os detalhes do produto, como sua URL padrão. Inserir e editar um módulo de produto Na sua conta da HubSpot, navegue até Marketing > E-mail . No canto superior direito, clique em Criar e-mail . Na caixa de diálogo, clique em Regular . Clique na guia Arrastar e soltar e escolha um modelo de e-mail . Clique e arraste o módulo de Produto da guia Conteúdo , no painel esquerdo, diretamente para o editor de e-mail. Selecione os produtos em destaque Na barra lateral esquerda, você pode personalizar quais produtos aparecerão no seu e-mail: Se você deseja adicionar produtos específicos em seu e-mail, selecione o Selecione manualmente botao de radio . Sob Produtos , clique Adicione um . Clique no Produtos menu suspenso e selecione um específico produtos você deseja apresentar. Por padrão, o URL, o nome e a descrição da página do produto serão preenchidos com base no detalhes do produto da sua biblioteca de produtos . Se você quiser substituir qualquer um desses campos em seu e-mail e fornecer um URL, nome ou descrição personalizado, selecione o caixa de seleção ao lado do campo correspondente e insira um valor personalizado. Opcionalmente, você pode clicar no botão Preenchimento para ativar e configurar o preenchimento ao redor do produto. Clique em Voltar para Produtos . Para adicionar outro produto, clique em +Adicionar , acima do produto que você acabou de configurar, ou clone o produto original passando o cursor do mouse sobre ele e clicando no ícone de clonar . Se você quiser apresentar seus produtos mais vendidos, mais recentes ou com melhor preço, selecione o Use recomendações de produtos botao de radio . Clique no recomendação menu suspenso para selecionar um filtro: Mais vendidos: mostra e classifica os produtos em ordem de popularidade, com base em quantos estão associados a um negócio com um valor de propriedade de probabilidade de negócio de 100%. Produtos Mais recentes: mostra e classifica os produtos com base na data em que foram adicionados ao seu catálogo, com os mais novos primeiro. Preço (alto a baixo): mostre os produtos por preço em ordem decrescente (excluindo descontos). Preço (baixo a alto): mostre os produtos por preço em ordem crescente (exclui descontos). Clique no Loja menu suspenso e selecione um loja . Para filtrar determinados produtos com base no preço, selecione o Filtrar por preço caixa de seleção e insira um eu no preço e preço máximo . Observe: se nenhum produto corresponder ao filtro de recomendação selecionado ou se você ainda não adicionou produtos à sua biblioteca de produtos, a visualização do seu e-mail apresentará conteúdo de espaço reservado. Você ainda pode projetar e estilizar esse conteúdo de espaço reservado para que seu e-mail esteja pronto para ser enviado assim que os dados do produto estiverem disponíveis. Edite o estilo e o layout do produto Depois de configurar seus produtos, você poderá editar seu estilo e disposição: Personalizar a orientação e a disposição dos seus produtos listados: Clique no menu suspenso Layout e selecione uma opção para alterar a orientação dos seus produtos listados. Se você escolher um layout Vertical , é possível inserir o número de produtos que deseja exibir em cada linha. Para mostrar ou ocultar campos específicos de cada produto, marque ou desmarque as caixas de seleção ao lado da opção correspondente. Edite os estilos de cada produto Imagem , Nome do Produto , Descrição , Preço , e Botão clicando na seção associada para expandi-la. Para ajustar o preenchimento ao redor do próprio módulo do produto, você pode clicar no botão Preenchimento para ativar e editar o preenchimento associado. Depois de editar os detalhes e o design de seus produtos, clique em Concluído na parte superior da barra lateral esquerda. Continue projetando o resto do seu e-mail ou clique em Revisar e enviar no canto superior direito. Adicionar um módulo de carrinho abandonado Se você tiver conectou uma conta do Shopify no HubSpot, você pode inserir e personalizar um módulo de carrinho abandonado em um e-mail automático, para ajudar a impulsionar o reengajamento e incentivar os clientes em potencial a concluir suas compras. Para adicionar um módulo de carrinho abandonado: Na sua conta da HubSpot, navegue até Marketing > E-mail . Clique no nome de um rascunho de e-mail existente para editá-lo ou clique em Criar no canto superior direito para criar um novo e-mail. Na barra lateral esquerda, clique em Mais . Clique e arraste o Carrinho abandonado módulo no corpo do seu e-mail. Na barra lateral esquerda, edite os detalhes, o estilo e o layout dos itens no carrinho do destinatário: Para mostrar ou ocultar campos específicos de cada produto, marque ou desmarque a caixa caixas de seleção ao lado da opção correspondente. Edite a fonte, o estilo e o alinhamento do nome, descrição, preço, quantidade e botão de finalização da compra do produto clicando na seção associada. Você também pode personalizar o texto, a cor, a borda e o estilo do canto do botão de checkout. Para ajustar o preenchimento ao redor do próprio módulo do produto, role para baixo e alterne o Preenchimento ligue/desligue para ativar e editar o preenchimento associado. Depois de editar os detalhes e o design de seus produtos, clique em Concluído na parte superior da barra lateral esquerda. Continue projetando o resto do seu e-mail ou clique em Revisar e enviar no canto superior direito. Marketing Email",https://knowledge.hubspot.com/pt/marketing-email/add-a-product-module-to-your-marketing-email
