id,titulo,conteudo,link
2351,Ver alterações em seu fluxo de trabalho,"No histórico de revisões de um fluxo de trabalho, você pode revisar um histórico de alterações feitas no fluxo de trabalho. Isso inclui quais alterações foram feitas, quando cada alteração foi feita e o usuário que fez a alteração. Se você gostaria de ver o seu fluxo de trabalho Histórico de inscrições e Registros de ação em vez disso, aprenda mais sobre o página de detalhes do fluxo de trabalho . Para exibir um histórico de alteração do fluxo de trabalho: Na sua conta HubSpot, acesse Automações > Fluxos de trabalho . Clique no nome de um fluxo de trabalho que você gostaria de revisar. No canto superior esquerdo, clique em Visualizar > Histórico de Revisão . No painel direito, todas as alterações serão listadas cronologicamente, com a alteração mais recente no topo. Para filtrar eventos, na parte superior, clique no botão menus suspensos : Período: filtrar pelo período de tempo em que a alteração foi feita. Evento: filtrar pelo tipo específico de alteração, como gatilhos de inscrição alterados ou mudado configurações de tempo . Do utilizador: filtrar pelo usuário que fez a alteração. Para ver como era o fluxo de trabalho em uma revisão específica, passe o mouse sobre o revisão , então clique Ver revisão . Na tela de revisão do fluxo de trabalho, revise a versão selecionada do fluxo de trabalho. O fluxo de trabalho não pode ser editado na tela de revisão do fluxo de trabalho. Para revisar detalhes adicionais sobre o fluxo de trabalho, você pode clicar no botão gatilhos de inscrição e Ação caixas. Para revisar as configurações do fluxo de trabalho no momento da revisão, no canto superior esquerdo, clique em Configurações . As configurações do fluxo de trabalho aparecerão no painel direito. Workflows",https://knowledge.hubspot.com/pt/workflows/view-workflow-changes
2352,Cancel your subscription and delete your HubSpot account,"If your HubSpot account has a paid subscription, you can choose to turn off your subscription’s auto-renewal, which will cancel your subscription at the end of your commitment term. After a subscription has been cancelled, you can delete your account . If you have a HubSpot account with Free Services, a HubSpot Developer Account, or a HubSpot Template Marketplace provider account, you can delete your account without needing to cancel a subscription. If you’re a HubSpot Solutions Partner, please connect with your HubSpot Team to discuss changes to your subscription or account. Turn off auto-renewal to cancel your subscription’s renewal If your HubSpot account has a paid subscription, you are not permitted to cancel the subscription prior to the end of your Current Term. To cancel your subscription, effective when your Current Term ends, turn off the subscription’s auto-renewal. This means your subscription will be automatically cancelled on your renewal date, not immediately. Following the cancellation date, your account will be downgraded to HubSpot’s free tools. Once your account has been downgraded to HubSpot’s Free Services, you can then delete your account if needed. Learn more about renewal options . For example, if your contract has a 12-month commitment term and you decide to cancel your subscription after eight months, you’ll continue to be charged monthly until the end of your 12-month commitment term, being your initially contractually agreed term. For more information about contract terms, review HubSpot's Customer Terms of Service . If you have billing admin permissions , to turn off auto-renewal: In your HubSpot account, click your account name in the top right corner, then click Account & Billing . Click the Subscriptions tab. In the Auto-renewal terms section, click Cancel auto-renewal . Select which products you want to cancel and review the list of features that will be affected when you cancel the subscription. Click Next . Select a cancellation reason . Click Next . Review the cancellation details, then click Cancel auto-renewal . A notice of non-renewal will be sent to the billing admin of the account. This will include the commitment term of the contract and the effective date of the cancellation. After the effective cancellation date, your account will be downgraded to HubSpot’s Free Tools. If you want to turn auto-renewal back on before your cancellation date: In your HubSpot account, click your account name in the top right corner, then click Account & Billing . Click the Subscriptions tab. Click Turn auto-renewal on . This turns auto-renewal back on for all cancelled products. If you still want to cancel certain products, you must turn auto-renewal off for individual products. Delete your account If you have a HubSpot account with free tools, a HubSpot Developer Account, or a HubSpot Template Marketplace provider account, you can delete your account. If you've cancelled a paid subscription , you can delete your account once the subscription is no longer active. You cannot delete your account if any HubSpot subscriptions still have active commitments, even if you’ve turned off auto-renewal. If you have billing admin permissions , to delete your account. In your HubSpot account, click your account name in the top right corner, then click Account & Billing . Click the Delete Account tab. Click Delete account . You'll be prompted to enter your Hub ID to confirm the deletion. Click Yes, delete to permanently delete your account. billing Account Management",https://knowledge.hubspot.com/account/how-do-i-cancel-my-hubspot-account
2353,Check if a contact opted out of all communication,"Check a contact record to see if they've opted out of all emails, calls, or a specific subscription type . You can also export a list of all unsubscribed contacts in your account from your email dashboard . Depending on whether data privacy settings are turned on in your account, you can either check the Communication subscriptions section of a contact record, or individual contact properties. Communication subscriptions If data privacy settings are turned on in your account, you can check the Communications subscriptions section of the contact record: In your HubSpot account, navigate to CRM > Contacts . Click the name of the contact. In the left panel, scroll down to the Communication Subscriptions section. If the contact has opted out of all communication, it will stated that [Contact name] is subscribed to 0 out of [X] subscriptions. Otherwise, the Communication Subscriptions section will show how many subscriptions the contact has opted into with your HubSpot account. You can click View subscriptions to manage individual subscription statuses for the contact. Review the Unsubscribed from all email contact property If data privacy settings aren't turned on in your account, you can check the value of the Unsubscribed from all email contact property for a specific contact: In your HubSpot account, navigate to CRM > Contacts . Click the name of the contact. In the left panel, click View all properties . On the right, type Unsubscribed from all email in Search Properties search bar. If a contact has unsubscribed from all communication, the Unsubscribed from all email property will have a value of true . Please note: if the Unsubscribed from all email contact property has a value of true , you also won't be able to call the contact without first giving a one-time legal basis for communicating with them . You can also review and manage the status of individual subscriptions directly on the contact record . Email Marketing Email",https://knowledge.hubspot.com/marketing-email/how-can-i-see-if-a-contact-opted-out-of-email-communication
2354,Ligar HubSpot e Sansan,"Ligue as suas contas HubSpot e Sansan para sincronizar as informações do seu cartão de visita com a sua conta HubSpot. Esta integração utiliza a sincronização de dados . Antes de começar Antes de configurar a sua integração, tenha em atenção o seguinte: Ao ligar a integração, o utilizador deve possuir os seguintes elementos Você deve ser um superadministrador ou ter permissões do App Marketplace na sua conta da HubSpot. É necessário, pelo menos, Operations Hub Starter para criar quaisquer mapeamentos de campos personalizados . Recomenda-se que um administrador Sansan instale a integração uma vez que o HubSpot só pode visualizar etiquetas e contactos a que o utilizador que instala a integração tem acesso. Tanto como quaisquer novos contactos criados ou modificados a partir do dia em que a integração é instalada serão sincronizados depois de a sincronização ter sido activada. Conectar a integração Para ligar a integração: Na sua conta HubSpot, clique no ícone do Marketplace marketplace na barra de navegação superior e selecione App Marketplace . Procurar a integração de Sansan, e seleccionar Sansan nos resultados. No canto superior direito, clique em Connect app , e inicie sessão na sua conta Sansan. Na caixa de diálogo, insira sua chave de API Sansan e marque a caixa de seleção ao lado de todas as tags públicas e compartilhadas que deseja sincronizar com o HubSpot. Só é possível sincronizar etiquetas públicas ou partilhadas, e o HubSpot irá sincronizar até 300 etiquetas. Clique em Ligar a Sansan . Depois de ligar a sua integração, a sincronização não será iniciada automaticamente. O utilizador tem de configurar a sincronização e activá-la para começar a sincronizar contactos entre os dois sistemas. É possível ligar mais do que uma chave Sansan API à sua conta HubSpot. Para ligar uma chave API adicional: {{{local.navIntegrações} Clique em Sansan . Clique em Acções > Gerir contas . No painel direito, clique em Conectar outra conta . Prossiga com os passos para ligar a chave API à sua conta HubSpot. Configurar a sincronização Ao sincronizar os seus contactos, tenha em atenção o seguinte: Esta integração sincronizará tanto os contactos existentes como quaisquer novos contactos criados ou modificados a partir do dia em que a integração é instalada. Se eliminar um contacto no Sansan, este não será eliminado no HubSpot. Para remover o contacto do HubSpot, manualmente eliminar o contacto . Se tiver vários cartões de visita com o mesmo endereço de correio eletrónico, estes podem não sincronizar corretamente. Para configurar as definições da aplicação e ativar a sincronização para começar a sincronizar dados entre as duas integrações: No ecrã Configurar , escolha a direcção de sincronização e mapeie os campos de Sansan para as propriedades do HubSpot. Na secção Mapear os seus campos , rever e modificar os mapeamentos de propriedades por defeito, desligar os mapeamentos indesejados, e configurar mapeamentos personalizados ( apenas para o Iniciador do Centro de Operações ). No ecrã Limite , configure como pretende sincronizar registos de objectos do HubSpot para Sansan, e vice-versa. Por padrão, a HubSpot sincronizará apenas contatos que têm um endereço de e-mail válido. Para desativar esta opção, na secção Reduzir a possibilidade de duplicados , desmarque a caixa de verificação Sincronizar apenas contactos com um endereço de e-mail . Na seção Limitar quais registros devem ser sincronizados , escolha critérios para limitar os registros que serão sincronizados do HubSpot para o aplicativo de terceiros, e vice-versa. Se não forem seleccionados filtros, todos os contactos Sansan existentes e novos serão sincronizados com o HubSpot. Na tela Revisão , revise as regras que você configurou e clique em Salvar e sincronizar . A sincronização inicial começará a ser processada. Após concluir a sincronização inicial, os registros serão sincronizados dentro de 10 minutos depois de uma alteração. Saiba mais sobre a saúde da sincronização e como monitorizar a sua sincronização . Integrations",https://knowledge.hubspot.com/pt/integrations/connect-and-use-hubspots-sansan-integration
2355,Store a payment method for future charges,"Once you have set up HubSpot payments or Stripe as a payment processing option , you can store the buyer's payment methods at checkout, and use the stored payment methods for future charges. HubSpot uses multiple layers of security to protect sensitive payment information, and the payments tool is built using Stripe's API to manage the secure collection and transmission of payment data. Your buyer's payment credentials are encrypted and tokenized by Stripe to help ensure that unauthorized parties do not gain access to sensitive payment information. It's recommended to set up a refund or cancellation policy in your terms of service, if you plan to use the payment method for unscheduled charges. Understand limitations and considerations You can save credit/debit card or ACH payment details. Other payment methods aren't supported at this time. You can take payment using a stored payment method through invoices and subscriptions . Turn on the store payment method setting To turn on the setting to store payment methods at checkout, for use in future charges: In your HubSpot account, click the settings settings icon in the top navigation bar. In the left sidebar menu, navigate to Payments . On the Payment methods tab, select the Collect your customer's payment details at checkout for future charges checkbox, then click Save . With the setting turned on, the buyer will see a checkbox when entering payment information for an invoice , quote , payment link , or subscription , asking them to agree to store their payment method and be charged for future payments using the same payment method. You can charge a stored payment method through invoices and subscriptions . Please note: One payment method is stored per contact. The most recently used payment method that the buyer agrees to store, will be stored. For example, if a buyer makes a purchase and agrees to storing their payment method, then makes a second purchase and uses a different payment method, agreeing to store that payment method, the second payment method will replace the first payment method as the stored payment method in HubSpot. Compliance obligations may apply when storing a payment method for future payments. For any questions, you should consult your own tax and/or legal advisors. Buyer checkout experience When the setting is turned on, the buyer will see a checkbox, asking them to agree to store their payment method and be charged for future payments using the same payment method. View contact records, invoices, and payments where a customer stored their payment method If a customer agrees to save their payment information, you can view this information on records with a payment associated (e.g., a contact record) or on record index pages. View a list of contacts that have stored a payment method ( Marketing Hub , Sales Hub , Service Hub , or Ops Hub Professional and Enterprise only ) You can set up a workflow to set the Has Stored Payment Method on a contact record to True to use to filter contacts, or use in other tools such as lists . Before you start, create a custom property on the contact object named Has stored payment method . Set the Field type as Single checkbox when creating the property. Then, to create the workflow: In your HubSpot account, navigate to Automations > Workflows . In the top right, click Create workflow . Click From scratch . Click Subscription-based , then click Next in the top right. Click the Trigger enrollment for subscriptions square in the middle. In the left sidebar, under Automatically trigger enrollment when an event occurs click When an event occurs . Click Object created . Click Done . In the left sidebar, under Only enroll subscriptions that meet these conditions click + Add criteria . Use the search bar to search for Store payment method at checkout and select it, then click True . After the OR , click + Add criteria . Click the Filtering on dropdown menu and select Invoice . Use the search bar to search for Store payment method at checkout and select it, then click True . In the left panel, click Done , then click Save . Click + underneath the trigger you have just created. In the left panel, click CRM , then select Edit record . Click the Record type dropdown menu and select Contact . Click the Property to edit dropdown menu and select Has stored payment method (the custom property you create before creating the workflow) . Click the Choose a value dropdown menu and select Yes . In the left panel, click Save . The final workflow should look like the below. Click Review and publish . Set your workflow options, then click Turn on workflow . You can now use the Has stored payment method custom property for contacts, to filter in various HubSpot tools, including the contacts index page , and lists . If you want to update the Has stored payment method property with contacts who have saved their payment in the past, manually enroll them . View the stored payment method on an individual contact record To view if a customer stored their payment information on a record: In your HubSpot account, navigate to CRM > Contacts . Click on the record . In the right panel, scroll to Payments . If you can't see the Payments association, learn how to add it to the record . Any payments where the customer agreed to store their payment information, will be labeled with Stored . View a list of invoices where customers stored a payment method To view customers that stored their payment information on invoices: In your HubSpot account, navigate to Commerce > Invoices . Click Advanced filters , then set up the following filters : Store payment method at checkout is True and Invoice Status is any of Paid . The view will show any invoices where a customer stored their payment information at checkout. Click the saveEditableView Save icon to save this view to revisit later. View a list of subscriptions where customers stored a payment method To view customers that stored their payment information on subscriptions: In your HubSpot account, navigate to Commerce > Invoices . Click Advanced filters , then set up the following filters : Store payment method at checkout is True and Number of completed payments is greater than 0 . The view will show any subscriptions where a customer stored their payment information at checkout. Click the saveEditableView Save icon to save this view to revisit later. Charge a buyer using a stored payment method Once a buyer has agreed to store their payment method during checkout for future payments, you can use the same payment method to charge them via: Invoices: when creating an invoice or after the invoice has been created . Subscriptions: when creating a subscription . View payments that charged a stored payment method You can view the payments that charged a stored payment method, as well as filter other HubSpot tools, such as lists . To view the payments: In your HubSpot account, navigate to Commerce > Payments . Click Edit columns . Add the Charged from stored payment method property to the table. Any payments where the stored payment method was used to charge the buyer will display Yes under the Charged from stored payment method property. Turn off the store payment method setting To turn off the setting to store payment methods at checkout: In your HubSpot account, click the settings settings icon in the top navigation bar. In the left sidebar menu, navigate to Payments . On the Payment methods tab, clear the Collect your customer's payment details at checkout for future charges checkbox , then click Save . Payments Invoices",https://knowledge.hubspot.com/payments/store-a-payment-method-for-future-charges
2356,Redesign and relaunch your site with content staging,"With the content staging tool, you can redesign and relaunch your website and landing pages in a staging environment. You can redesign and replace existing HubSpot-hosted pages, or create new pages from scratch. Any content created and published in content staging is hosted on your-domain.sandbox.hs-sites.com. When you're ready for your redesigned pages to go live, you can replace multiple live pages on your website at the same time. Please note: this article covers how to use the content staging tool to redesign your website content in HubSpot. If you're looking for a sandbox environment to build and test new assets, learn how to create a free CMS Developer Sandbox account . Before you get started If you've never used the content staging tool before, you can review these resources for planning your website redesign: Learn how to build a website redesign strategy . Understand how to edit page content. Update your page logo, fonts, and branding in your settings . There are a few additional notes and limitations to be aware of with the content staging tool: Changes made to any page template, global content , or HubDB table in content staging will be reflected on live pages using those assets. HubSpot recommends cloning your templates, global content, and HubDB tables before editing them in content staging. The content s taging tool doe s n't currently s upport multi-language content . The content staging tool can't currently be used to redesign blog pages. Instead, you can replace your blog's template in your settings. To see what your redesigned template will look like before it's live, create a new blog for testing. When you replace a live page with a staged page, the original page's analytics carry over. This applies to both staged clones and staged blank pages. If you disconnect a subdomain from HubSpot , any pages staged on that subdomain will no longer be accessible. Change your website's domain (optional) If your redesigned website will be hosted on a new domain, add the new domain in your settings. Even if you aren't updating your DNS records yet, adding the domain to your domain manager will allow you to stage pages on it. When you're ready to take your new website live, you can finish connecting the new domain to HubSpot by updating your DNS records in your DNS provider. Please note: the number of domains you can have connected to HubSpot depends on your subscription . Follow these steps to add your new domain to your domain manager: In your HubSpot account, click the settings settings icon in the top navigation bar. In the left sidebar menu, click Website > Domains & URLs . In the upper right, click Connect a domain . Connect your domain as a secondary domain. When you reach the Hosting Setup step, click Cancel in the lower right. In the domain manager, hover over the new domain, click the Edit dropdown menu, and select Set as ready for publishing . With this setting, you'll be able to select this new domain as the destination of your staged content before it's fully connected to HubSpot. Redesign your pages There are three ways you can use the content staging tool to redesign a page: Stage a clone of an existing page. Stage a blank page to replace an existing page. Create a new staged page. Stage a clone of an existing page Use this option if you want to keep some existing content on the redesigned page. In your HubSpot account, navigate to Content > Website Pages . In the top right, click the More tools dropdown menu and select Content staging . In the top left of the content staging tool, click the D omain dropdown menu to select the domain where the page you're staging is hosted. This will also be the domain where your new page is published and hosted. Select the type of page you want to stage: Click the Unmodified tab to stage a live page. Click the Staged draft tab to stage a new version of a staged page still in draft mode. Click the Staged proof tab to stage a new version of a staged page published to the staging domain. Hover over the page you want to stage, then click Stage . In the dialog box, click Stage cloned page, then click Stage page to open a clone of your live page in the content staging editor. Edit your page's content in the page editor. Keep in mind that any changes to your templates, global content, or stylesheets will impact existing live content. After you complete your edits, click Publish to staging . Click Publish to staging to return to content staging or Publish and keep editing to continue editing your page. Please note : URL conflict and discrepancy alerts may appear if the staged proof points to a different live URL than it was first assigned during staging. If you want to overwrite a live page with your staged page, you can safely ignore these alerts. You can see your pages' staged and live URLs in the Publish to live domain dialog box. Publishing your staged page with a changed URL will create a permanent redirect from the original URL to the new one. Stage a blank page to replace an existing page Use this option if you want to create a completely new page to replace an existing URL on your site. The page you design in content staging will ultimately replace the original live page you're staging. In your HubSpot account, navigate to Content > Website Pages . In the top right, click the More tools dropdown menu and select Content staging . In the top left of the content staging tool, click the D omain dropdown menu to select the domain where the page you're replacing is hosted. This will also be the domain where your new page is published and hosted. Select the type of page you want to stage: Click the Unmodified tab to stage a live page. Click the Staged draft tab to stage a new version of a staged page still in draft mode. Click the Staged proof tab to stage a new version of a staged page published to the staging domain. Hover over the page you want to stage, then click Stage. In the dialog box, select Stage blank page, then click Stage page. Select a template for your new staged page. Keep in mind that any changes to your templates, global content, or stylesheets will impact existing live content. Edit your page's content in the page editor. After you complete your edits, click Publish to staging . Click Publish to staging to return to content staging or Publish and keep editing to continue editing your page. Please note : URL conflict and discrepancy alerts may appear if the staged proof points to a different live URL than it was first assigned during staging. If you want to overwrite a live page with your staged page, you can safely ignore these alerts. You can see your pages' staged and live URLs in the Publish to live domain dialog box. Publishing your staged page with a changed URL will create a permanent redirect from the original URL to the new one. Create a new staged page Create a new page from scratch in content staging. Use this option to add a new page to your site on a new URL. If you're adding a new page to your site, be sure to review your advanced menus or create a new navigation menu for your redesigned site. In your HubSpot account, navigate to Content > Website Pages . In the top right, click the More tools dropdown menu and select Content staging . In the top left of the content staging tool, click the D omain dropdown menu to select the domain where your new page will be published and hosted. In the upper right, click Create a new staged page . Select whether you want to stage a new Site page or Landing page . Enter a name for your new staged site or landing page in the text box. Click Stage new landing/site page . Select a template for your new staged page. Keep in mind that any changes to your templates, global content, or stylesheets will impact existing live content. Edit your page's content in the page editor. After you complete your edits, click Publish to staging . Click Publish to staging to return to content staging or Publish and keep editing to continue editing your page. At the top left of the content staging tool, you can find unpublished staged pages in the Staged draft tab and published staged pages in the Staged proof tab. Take your staged site live After you've completed your website redesign, you can take your pages live. If you're hosting your new website on the same domain, your staged pages will replace the live URLs of your site. If you're hosting your new website on a new domain that you've set as ready for publishing, update your DNS records in your DNS provider to connect the domain. Your new pages will go live on the new domain. Please note: if you have a Content Hub Professional subscription, you will need to disconnect your existing domain before you connect your new one. To publish your staged pages: In your HubSpot account, navigate to Content > Website Pages . In the top right, click the More tools dropdown menu and select Content staging . At the top left of the content staging tool, click the Publish tab. To publish a single page, hover over the page name and click Publish . To publish multiple pages, select the checkboxes next to the pages, then click Publish x pages to live domain . To publish all staged pages for a domain, in the upper right, click Publish all to live domain. In the dialog box, give the publishing job a Publish Job Name . You'll use this to review your publishing history in the Log section of your content staging tool. Enter a Publish Job Description of what was changed and why. Click Next . Review the details of your publishing job: Add x site/landing pages: new pages will be added to your live website. Replace x site/landing page: staged versions of live pages will replace them, deleting the existing live content. Please note : replacing a page will delete the original page's content. HubSpot recommends checking each replacement before finalizing this process. You can restore a page's deleted content from its revision history . When you’re ready, select the I’ve reviewed these changes and am ready to publish checkbox, then click Publish . In the Log tab, you can track the progress of your publish job within the publication queue. Landing Pages Website Pages",https://knowledge.hubspot.com/website-pages/redesign-and-relaunch-your-site-with-content-staging
2357,Traffic considerations when hosting your site on HubSpot,"The HubSpot Content Management System (CMS) is more than capable of providing a fast experience while serving millions of page views. Here are some things to keep in mind when planning to host a high-traffic site on HubSpot: Maximum Load The CMS is currently set up to handle around 1,000 page views per second to a website. This means your site is capable of handling 3.6 million page views an hour or about 86 million page views a day when hosted on the CMS. Requesting Load Tests If you know you’re going to have an event that would drive an unusually large surge of traffic to your site, let your Customer Success Manager know ahead of time so HubSpot can plan for it. Please note: performing load tests on your own is against our Terms of Service and has the potential to harm multiple customer sites in addition to yours. Whenever you’re thinking about performing one of these tests, please let your Customer Success Manager know so you can talk through any potential issues. Ensuring a Smoother Load Experience If you’re expecting even a modest traffic spike, work with your web developer/team to make sure the website loads quickly and is accessible. Most of the necessary server configurations are handled by HubSpot, though you should avoid overly large images and excessive use of videos and .js snippets when planning for heavy website traffic. Learn more about what HubSpot does to optimize your website page speed . Finally, if you know the site you’ll be hosting on the CMS is going to have a consistently high volume of traffic (more than one million page views a day), let your Customer Success Manager know in advance so HubSpot can be prepared to host your site in the best manner. Learn more about HubSpot's technical service limits . Reports",https://knowledge.hubspot.com/reports/traffic-considerations-when-hosting-your-site-on-hubspot
2358,Review recordings on the HubSpot mobile app,"If call recording is turned on in your account settings, you can access recordings on the HubSpot mobile app . You can then listen to a recording, review comments, or access the transcript. Listening to recordings can help you coach, mentor, and onboard new reps or catch any missed insights from the call. You can use the recording to keep your notes up to date so you have all the context you need to prepare for your next call with a customer. Recordings can be played while you navigate to other apps on your device or when your device is locked so you can multitask while you listen. Please note: if you don't see your recordings listed, make sure call recording is turned on in your account settings. Review call recordings Open the HubSpot app on your iOS or Android device. In the bottom navigation menu, tap Menu . Tap Recorded Calls in the left sidebar. A list of recordings will appear. This list includes any recordings made using the calling tool , or cloud recordings using HubSpot's integration with Zoom. Use the search bar to lookup a specific call, or use the Assigned to and Transcript All dropdown menus to filter the calls. Tap a call to listen to the recording, access the transcript, view and add any comments, or share the recording: The recording will start automatically when you select it. Drag the video progress bar back and forth, or use the skip and rewind icons at the bottom of the screen to jump to a specific part of the call, or tap the playerPause Pause icon to pause the recording. To change the playback speed, click the playback speed icon in the bottom left. (iOS) To add a comment, tap the Comments tab , then tap Add a comment . To mention another team member in the comment and send them a push notification, type @ and your team member's name , then enter your message. Tap the send send icon . (iOS) (Android) To access the transcript, tap the Transcript tab. Tap transcript text to start playing that specific part of the recording. As the recording plays, the transcript will automatically scroll and the speaker's text will be highlighted. Please note: transcripts are only generated for recordings made by users with an assigned Sales Hub or Service Hub Professional or Enterprise paid seat in accounts where Conversation Intelligence (CI) has been turned on. Any user in a Sales Hub or Service Hub Professional or Enterprise account can access the transcript for coaching. To view details about the call, including the call notes, call outcome, call type, and associated records, tap the Call info tab . (iOS) (Android) To share the recording, tap the share icon in the top right and select a sharing option. You can share the link via Slack, SMS, email, etc. When the recipient taps the link on their device, the recording details will open in the app. To return to your list of recordings, tap the back icon in the top left. Review call recordings from a contact or company record Open the HubSpot app on your iOS or Android device. To navigate to a contact or company record : On your iOS device: Contacts: Tap Menu in the bottom navigation menu, then tap Contacts in the left sidebar. Companies: Tap Menu in the bottom navigation menu, then tap Contacts in the left sidebar. Then tap the Companies tab. On your Android device: Contacts: Tap Menu in the bottom navigation menu, then tap Contacts in the left sidebar. Companies : Tap Menu in the bottom navigation menu, then tap Companies in the left sidebar. Select a contact or company record. On the Activity tab in the contact or company record, scroll through the timeline to find the call recording you wish to review. Tap the playerPlay play icon on the call engagement to open the call recording playback screen . The recording will begin playing automatically. Tap the call engagement to open a call summary. Tap the playerPlay play icon to open the call recording playback screen . The recording will begin playing automatically. Calling",https://knowledge.hubspot.com/mobile/review-calls-on-the-hubspot-mobile-app
2359,Restore a previous version of content,"In the content editor, you can view and restore saved versions of a page, blog post, or email. Versions of unpublished pages, posts, or case studies are saved automatically as edits are made. Once published, new edits won't be stored in the version history until they are published. Changes to emails are saved every five minutes. If you need to restore a deleted post, page, or email, please reach out to Customer Support . Please note: it is not currently possible to access the version history of a knowledge base article. Restore a previous versions of a page, post, or case study Navigate to your content: Website Pages : In your HubSpot account, navigate to Content > Website Pages . Landing Pages : In your HubSpot account, navigate to Content > Landing Pages . Blog : In your HubSpot account, navigate to Content > Blog . Case Studies: In your HubSpot account, navigate to Content > Case Studies . Click the name of your content. Click the View menu and select Version history . In the version history, click a version to see a preview of its content. The current draft and/or published version will be labeled beneath the date. In the upper right, click Restore this version . Restore a previous version of an email You can access and restore previous versions of draft or automated emails. Once a non-automated email has been sent, previous versions cannot be accessed. In your HubSpot account, navigate to Marketing > Email . Click the name of your email. In the top left, hover over the save status of the email, then click version history in the pop-up box. In the version history, click a version to see a preview of its content. The current draft and/or published version will be labeled beneath the date. In the upper right, click Restore this version . Landing Pages Email Blog Website Pages",https://knowledge.hubspot.com/website-pages/restore-a-previous-version-of-content
2360,Update the lifecycle stage of contacts or companies in bulk,"You can use a workflow or an import to change the lifecycle stage of your contacts or companies in bulk. Learn more about using lifecycle stages . To manually update an individual record's lifecycle stage, learn how to edit a property value . Update the lifecycle stage with an import If you import a contact and don’t set their lifecycle stage, the contact’s lifecycle stage will be set automatically by HubSpot when they complete certain actions . To ensure a contact’s lifecycle stage is accurate when they are added to the CRM, or to update an existing contact's lifecycle stage, you can import a Lifecycle stage column. Please note: y ou can only update a lifecycle stage forward with an import. If you want to set a lifecycle stage backwards, you will need to clear the records' lifecycle stage values before importing. Create a file with the following: A column containing a unique identifier for the contacts or companies for which you want to change the lifecycle stage ( E mail for contacts, Company domain name for companies, Record ID or custom unique value property for either). A column containing Lifecycle stage with the new values for the records. The values for Lifecycle stage must match either the stage's internal value or its label in English. In your HubSpot account, navigate to CRM > Contacts . Click Import . Click Start an import , then select File from computer . Select Contacts or Companies as your import type, then click Next . Select a file to import, then click Next. The Lifecycle Stage column should automatically match with the lifecycle stage property in HubSpot. Click Next . Enter a name for your import. If you're importing contacts: Select the checkboxes to create a list of your contacts or set these contacts as marketing. If you have data privacy settings turned on, click the dropdown menu and select a legal basis for communicating with the contacts. Click Finish import . Once the records have been imported, they will have their lifecycle stage changed to your selected lifecycle stage. Learn more about importing records . Update the lifecycle stage with a workflow ( Professional and Enterprise only) When moving a lifecycle stage forward , you can use the Set property value workflow action to set a new lifecycle stage. When moving a lifecycle stage backwards, you'll first need to clear the property, then add another action to set a new lifecycle stage. To set up a lifecycle stage workflow: In your HubSpot account, navigate to Automations > Workflows . In the upper right, click Create workflow . Select Start from scratch , then click Create workflow . Depending on which records you'd like to update Lifecycle stage for, in the left panel, select Contact-based or Company-based . If you plan to leave the workflow running to continually set new lifecycle stages, learn how to choose your enrollment triggers . Click the + plus icon to add a workflow action. To move a lifecycle stage forward : In the right panel, select Set property value . Click the Target property type dropdown menu and select Contact or Company . Click the Property to set dropdown menu and select Lifecycle stage . Then, in the Lifecycle stage dropdown menu, select the lifecycle stage value you want to assign to your records. Click Save . To move a lifecycle stage backwards : In the right panel, select Clear property value . Click the Target property type dropdown menu and select Contact or Company . Click the Property to clear dropdown menu and select Lifecycle stage Click Save . With the Clear property value action added, click the + plus icon to add another workflow action. In the right panel, select Set property value . Click the Target property type dropdown menu and select Contact or Company . Click the Property to set dropdown menu and select Lifecycle stage . Then, in the Lifecycle stage dropdown menu, select the lifecycle stage value you wish to assign to your records. Click Save . Continue setting up your workflow . When you're ready to turn the workflow on, in the upper right, click Review , then click Turn on . With the workflow enabled, enrolled records will now have their lifecycle stage set accordingly. Learn how to manually enroll a list of contacts in a workflow . CRM records",https://knowledge.hubspot.com/records/change-record-lifecycle-stages-in-bulk
